# Time (s),Z (m),Vz (m/s),Az (m/s²),Mach Number
0.000000,0.000000,0.000000,0.000000,0.005877
0.037500,0.000000,0.000000,0.000000,0.005877
0.039219,0.000000,-0.000000,0.000000,0.005877
0.040939,0.000000,-0.000000,-0.000000,0.005877
0.044378,0.000000,0.000064,0.037240,0.005877
0.047817,0.000006,0.003587,2.011669,0.005877
0.051256,0.000036,0.013900,3.986431,0.005877
0.074209,0.003141,0.256640,17.163767,0.005925
0.084598,0.006897,0.466474,23.233366,0.006035
0.091249,0.010572,0.638403,28.464763,0.006169
0.097901,0.015511,0.846799,34.199262,0.006382
0.104552,0.021959,1.092094,39.559880,0.006696
0.113921,0.034093,1.498213,47.134583,0.007343
0.123290,0.050362,1.974685,54.578250,0.008259
0.132659,0.071443,2.525501,63.005114,0.009467
0.142028,0.098069,3.158384,72.096963,0.010986
0.151397,0.131025,3.876625,81.226536,0.012819
0.160766,0.171111,4.680570,90.392206,0.014958
0.202956,0.460862,9.379232,132.548604,0.028182
0.206375,0.493711,9.836887,135.174004,0.029499
0.209794,0.528136,10.301028,136.343335,0.030836
0.213213,0.564154,10.769179,137.519565,0.032188
0.220051,0.641035,11.718001,140.005008,0.034933
0.226889,0.724444,12.678728,141.002079,0.037719
0.227521,0.732522,12.767370,140.104762,0.037977
0.228154,0.740655,12.855469,139.245891,0.038232
0.229419,0.757033,13.030585,137.536289,0.038741
0.230685,0.773631,13.203524,135.805142,0.039243
0.231950,0.790446,13.374273,134.076526,0.039740
0.236986,0.859443,14.029593,126.201039,0.041645
0.240461,0.908932,14.453544,117.801382,0.042879
0.243936,0.959843,14.848466,109.493964,0.044029
0.246614,1.000000,15.133577,103.375415,0.044859
0.246770,1.002358,15.149687,103.499981,0.044906
0.246926,1.004719,15.165742,103.144358,0.044953
0.247237,1.009445,15.197739,102.424582,0.045046
0.247548,1.014181,15.229511,101.696604,0.045138
0.247860,1.018927,15.261056,100.968511,0.045230
0.250973,1.066906,15.564067,93.704517,0.046111
0.254086,1.115794,15.844536,86.485367,0.046927
0.257199,1.165520,16.101989,78.918597,0.047675
0.263014,1.260391,16.525822,66.845262,0.048908
0.266799,1.323393,16.769291,61.821678,0.049617
0.270583,1.387281,16.993835,56.844103,0.050270
0.274368,1.451983,17.199398,51.790418,0.050868
0.278681,1.526630,17.413648,47.555083,0.051491
0.282185,1.587948,17.578749,46.662053,0.051971
0.285690,1.649840,17.740534,45.663131,0.052442
0.289195,1.712292,17.898760,44.630443,0.052903
0.296204,1.838824,18.204586,42.631224,0.053793
0.303214,1.967450,18.496472,40.653253,0.054643
0.310223,2.098082,18.777030,39.398720,0.055460
0.318054,2.246322,19.082143,38.524155,0.056350
0.325885,2.396926,19.380421,37.653088,0.057220
0.333717,2.549838,19.671805,36.763525,0.058070
0.348689,2.848438,20.209498,35.053667,0.059641
0.363661,3.154886,20.721022,33.261333,0.061137
0.378634,3.468796,21.206438,31.602100,0.062559
0.393606,3.789786,21.666801,29.882492,0.063909
0.398716,3.900874,21.817945,29.282070,0.064353
0.403825,4.012727,21.966030,28.684827,0.064788
0.408934,4.125330,22.111838,28.390795,0.065217
0.416752,4.299071,22.332717,28.112124,0.065867
0.424571,4.474529,22.551394,27.827670,0.066511
0.432389,4.651689,22.767813,27.534664,0.067149
0.448506,5.022199,23.206689,26.920622,0.068445
0.464624,5.399699,23.635471,26.282871,0.069714
0.480741,5.784038,24.055556,25.885423,0.070960
0.496859,6.175095,24.469668,25.504229,0.072191
0.515359,6.632140,24.937844,25.116368,0.073587
0.533860,7.097782,25.399214,24.766296,0.074965
0.552360,7.571930,25.858118,24.928929,0.076340
0.570861,8.054599,26.321489,25.178106,0.077731
0.586494,8.469177,26.716797,25.394332,0.078920
0.602127,8.889950,27.113843,25.358526,0.080115
0.617761,9.316927,27.509995,25.321935,0.081309
0.633394,9.750088,27.904901,25.181847,0.082499
0.649027,10.189342,28.287792,23.554182,0.083654
0.660355,10.511211,28.534646,19.589534,0.084400
0.671683,10.835587,28.725935,13.894955,0.084981
0.683011,11.161730,28.843736,6.643832,0.085342
0.694339,11.488755,28.880232,-0.118798,0.085461
0.705667,11.815778,28.845100,-5.924349,0.085367
0.716995,12.142092,28.758298,-8.935205,0.085119
0.725582,12.388671,28.671969,-11.214627,0.084870
0.734169,12.634442,28.570097,-12.317142,0.084574
0.742755,12.879310,28.463638,-12.291111,0.084263
0.751342,13.123265,28.358269,-12.248513,0.083956
0.759929,13.366318,28.253260,-12.210761,0.083649
0.768515,13.608470,28.148567,-12.174628,0.083343
0.777102,13.849724,28.044176,-12.140170,0.083037
0.792358,14.276157,27.859491,-12.069914,0.082495
0.807614,14.699779,27.675774,-12.017681,0.081955
0.822870,15.120604,27.492695,-11.986778,0.081415
0.838126,15.538640,27.310210,-11.932347,0.080877
0.862233,16.193549,27.022963,-11.908817,0.080028
0.886340,16.841542,26.736259,-11.865106,0.079179
0.910448,17.482635,26.450754,-11.823237,0.078334
0.934555,18.116859,26.166208,-11.783936,0.077492
0.958662,18.744234,25.882605,-11.744243,0.076654
0.981817,19.340386,25.611170,-11.699929,0.075853
1.004971,19.930261,25.340330,-11.707854,0.075055
1.028125,20.513866,25.069504,-11.669216,0.074259
1.051280,21.091210,24.799806,-11.630185,0.073468
1.074434,21.662318,24.530615,-11.631733,0.072680
1.104243,22.388390,24.184628,-11.576448,0.071669
1.128163,22.963570,23.907960,-11.561984,0.070863
1.152083,23.532137,23.631587,-11.546096,0.070060
1.176002,24.094098,23.355698,-11.520126,0.069259
1.199922,24.649469,23.080544,-11.484680,0.068460
1.232208,25.388668,22.710513,-11.438843,0.067388
1.264494,26.115947,22.342108,-11.379067,0.066321
1.296780,26.831363,21.975674,-11.322114,0.065260
1.329066,27.534978,21.611080,-11.262161,0.064203
1.361352,28.226854,21.248492,-11.198043,0.063151
1.399962,29.038923,20.817573,-11.126038,0.061899
1.438571,29.834408,20.389329,-11.057308,0.060653
1.477181,30.613411,19.963835,-10.980747,0.059413
1.515791,31.376036,19.540871,-10.942075,0.058179
1.554401,32.122370,19.119764,-10.846773,0.056950
1.593010,32.852501,18.702255,-10.811094,0.055730
1.624918,33.443743,18.357078,-10.833567,0.054721
1.656825,34.023970,18.012333,-10.744459,0.053714
1.688733,34.593234,17.670367,-10.714340,0.052715
1.720641,35.151607,17.328952,-10.679962,0.051718
1.752548,35.699103,16.989014,-10.622229,0.050727
1.796574,36.436755,16.521564,-10.637767,0.049366
1.840599,37.153847,16.054633,-10.537919,0.048008
1.884624,37.850446,15.591516,-10.534388,0.046664
1.928650,38.526680,15.128180,-10.497844,0.045321
1.972675,39.182546,14.667276,-10.436829,0.043989
2.017087,39.823647,14.203708,-10.463190,0.042650
2.061499,40.444168,13.740273,-10.369403,0.041315
2.105910,41.044153,13.281090,-10.333758,0.039994
2.150322,41.623760,12.822424,-10.323009,0.038676
2.194734,42.183067,12.364566,-10.287486,0.037363
2.239145,42.722047,11.907775,-10.296510,0.036055
2.283557,43.240769,11.452159,-10.188365,0.034753
2.327969,43.739327,11.000347,-10.197205,0.033464
2.372380,44.217844,10.548438,-10.123244,0.032177
2.416792,44.676338,10.099831,-10.098075,0.030903
2.461203,45.114943,9.651829,-10.072868,0.029633
2.523674,45.698286,9.024097,-10.016143,0.027861
2.586145,46.242507,8.399646,-9.978896,0.026106
2.648616,46.747778,7.776861,-9.963115,0.024367
2.711087,47.214188,7.155497,-9.926321,0.022646
2.786458,47.725357,6.409238,-9.872252,0.020601
2.861829,48.180422,5.666638,-9.837703,0.018600
2.937201,48.579607,4.926053,-9.815368,0.016649
3.012572,48.923047,4.187574,-9.774803,0.014767
3.087943,49.210927,3.451954,-9.750718,0.012982
3.182539,49.493896,2.531106,-9.717675,0.010942
3.277135,49.689912,1.613818,-9.673206,0.009257
3.302614,49.727892,1.367582,-9.654402,0.008891
3.328093,49.759605,1.121758,-9.642812,0.008570
3.353573,49.785058,0.876221,-9.630683,0.008301
3.379052,49.804258,0.631005,-9.617435,0.008087
3.408795,49.818776,0.345218,-9.599820,0.007912
3.438537,49.824802,0.060006,-9.578705,0.007823
3.444809,49.824991,-0.000048,-9.573683,0.007816
